recipe_id;name;link;ingredients;calories;fat;sodium;sugars;protein;rating;rating_count
f7b0afb7-dc06-481b-b9fd-8456484bb647;thischickencabbagesoupwithpestoiscozycomforting;https://www.eatingwell.com/chicken-cabbage-soup-with-pesto-8362641;2 tablespoons extravirgin olive oil, 1 cup thinly sliced carrot, 4 cups chopped green cabbage, 1 cup sliced leek, 1 tablespoon finely chopped garlic, 6 cups unsalted chicken broth, 1 15ounce can nosaltadded butter beans, rinsed, 1 teaspoon salt, 1 pound boneless, skinless chicken breasts, cut into 12inch pieces, 1 tablespoon whitewine vinegar, 6 tablespoons pesto;295;13;559;6;25;;
57470298-7e5a-46e9-a766-1217684eb724;2biteminipumpkincheesecaketarts;https://www.eatingwell.com/mini-pumpkin-cheesecake-tarts-8374465;4 ounces reducedfat cream cheese, 13 cup pumpkin puree, 14 cup brown sugar, 1 large egg, 34 teaspoon pumpkin pie spice, 12 teaspoon vanilla extract, 18 teaspoon salt, allpurpose flour, for dusting, 1 sheet frozen puff pastry, thawed according to package instructions;61;3;69;3;1;;
29dd6849-53e4-440b-b32d-e876f2614cdf;ourchickenpiccatacasseroleispackedwith31gramsofprotein;https://www.eatingwell.com/chicken-piccata-casserole-8364414;1 tablespoon extravirgin olive oil, 1 pound boneless, skinless chicken thighs, cut into 1 12inch pieces, 34 teaspoon salt, divided, 14 teaspoon ground pepper, 2 tablespoons unsalted butter, 1 lemon, cut into 14inch slices, 1 cup wholewheat orzo , 2 teaspoons minced garlic, 13 cup dry white wine, 1 12 cups unsalted chicken broth, 8 cups chopped stemmed curly kale, 2 tablespoons drained nonpareil capers, chopped, 1 tablespoon chopped fresh flatleaf parsley;414;15;707;2;31;4.8;5.0
3524f8b5-6371-4c6d-ab38-ddaf0c164a10;anthonyandersonsonepotbuffalochickenmaccheesewithbroccoli;https://www.eatingwell.com/one-pot-buffalo-chicken-mac-and-cheese-with-broccoli-8367357;1 pound boneless, skinless chicken breast, trimmed and cubed 12inch, 1 teaspoon dried parsley, 12 teaspoon garlic powder, 12 teaspoon onion powder, 14 teaspoon kosher salt, 14 teaspoon ground pepper, 1 tablespoon extravirgin olive oil, 1 34 cups nonfat milk, divided, 1 12 cups unsalted chicken broth, 6 ounces wholewheat penne pasta 1 12 cups, 1 12 cups bitesize broccoli florets, 2 tablespoons allpurpose flour, 1 14 cups shredded reducedfat sharp cheddar cheese, divided, 14 cup mild buffalo sauce, preferably with no added sugar , chopped fresh parsley for garnish optional;465;14;684;12;44;4.3;4.0
8119d2a2-fa61-466b-9788-10c64f14b26d;anthonyandersonssweetpotatohomefrieswithcranberryhazelnutcrumble;https://www.eatingwell.com/sweet-potato-home-fries-with-cranberry-hazelnut-crumble-8367433;1 14 pounds sweet potatoes, cubed 12inch, 1 teaspoon extravirgin olive oil plus 1 tablespoon, divided, 2 12 tablespoons chopped hazelnuts, toasted see tip, 2 tablespoons dried cranberries, 18 teaspoon salt plus 14 teaspoon, divided, 18 teaspoon ground pepper;119;7;224;6;1;5.0;2.0
d6d81493-43f4-481d-80ae-f7bc2a462a62;thiswhippedfrenchoniondipismadewithaproteinpackedingredient;https://www.eatingwell.com/whipped-cottage-cheese-french-onion-dip-8363893;2 tablespoons avocado oil or other neutral oil, 3 cups chopped sweet onions, 1 16ounce container fullfat cottage cheese, 1 tablespoon vegan worcestershire sauce, 1 teaspoon garlic powder, 1 teaspoon balsamic vinegar, 12 teaspoon onion powder, 14 teaspoon ground pepper;44;2;90;2;3;;
946baabb-a6fc-4fa7-9103-fcd0308baa75;3ingredientsalmonveggiesandwich;https://www.eatingwell.com/3-ingredient-salmon-and-veggie-sandwich-8349622;1 3ounce piece baguette or crusty roll, split in half, 12  cup chopped grilled or roasted vegetables, 2 ounces cooked salmon, flaked about 14 cup;327;12;510;4;21;;
c1e7665a-04d7-49b6-83b6-8d22001506d3;mustarddillgrilledsalmonvegetablesisthemostdeliciouswaytoeatfish;https://www.eatingwell.com/mustard-dill-grilled-salmon-vegetables-8349526;3 tablespoons mayonnaise, 3 tablespoons dijon or wholegrain mustard, 1 tablespoon finely chopped fresh dill, plus fronds for garnish, 1 12 pounds centercut skinless salmon fillet, 2 medium zucchini, trimmed and sliced lengthwise 14inch thick, 2 tablespoons extravirgin olive oil, divided, 12 teaspoon kosher salt, divided, ground pepper to taste, 1 large red onion, cut into 14inchthick wedges, 1 pint cherry tomatoes;285;17;409;4;26;;
30834224-7565-4f4f-bb1e-67562401f00d;thebestvegetablenoodlesoup;https://www.eatingwell.com/best-vegetable-noodle-soup-8351143;1 tablespoon extravirgin olive oil, 1 cup thinly sliced carrot, 1 cup chopped celery, 1 cup finely chopped yellow onion, 1 tablespoon finely chopped garlic, 6 cups reducedsodium vegetable broth, 1 145ounce can fireroasted diced tomatoes, undrained, 34 teaspoon salt, 12 teaspoon saltfree italian seasoning, 12 teaspoon dried oregano, 14 teaspoon dried thyme, 14 teaspoon ground pepper, 1 bay leaf, 8 ounces wholewheat orzo about 1 cups, 3 cups stemmed and chopped lacinato kale, 10 ounces frozen peas, 1 tablespoon sherry vinegar, 14 cup grated parmesan cheese;286;5;691;8;11;4.5;4.0
ae54ddb0-cb35-43c1-b757-6a2128c8810d;almonddatebarsareaportablenobakesnack;https://www.eatingwell.com/almond-date-bars-7969228;1 cup marcona almonds, 1 14 cups whole pitted dates about 15, 34 cup dried apples about 2 oz, 14 cup sweetened coconut flakes, 1 tablespoon honey, 18 teaspoon kosher salt, 34 cup crispy rice cereal, cooking spray;143;7;68;15;3;;
