recipe_id;name;link;ingredients;calories;fat;sodium;sugars;protein;rating;rating_count
070f8a4c-0d37-4394-a88f-b640c4b20313;Quick-Cooking Oats;https://www.eatingwell.com/recipe/269640/quick-cooking-oats/;1 cup water or low-fat milk, Pinch of salt, ½ cup quick-cooking oats (see Tip), 1 oz low-fat milk for serving, 1 to 2 teaspoons honey, cane sugar or brown sugar for serving, Pinch of cinnamon;150;3g;152mg;1g;5g;4.0;2
6a4c65db-3c5d-41dc-b81a-3f0f23df6b0a;Fruit & Yogurt Smoothie;https://www.eatingwell.com/recipe/249318/fruit-yogurt-smoothie/;3/4 cup nonfat plain yogurt, 1/2 cup 100% pure fruit juice, 1 1/2 cups (6 1/2 ounces) frozen fruit, such as blueberries, raspberries, pineapple or peaches;279;2g;149mg;46g;12g;4.3;21
2aa2a320-8182-43ac-8854-7bcb18a1da08;Veggie & Hummus Sandwich;https://www.eatingwell.com/recipe/259817/veggie-hummus-sandwich/;2 slices whole-grain bread, 3 tablespoons hummus, ¼ avocado, mashed, ½ cup mixed salad greens, ¼ medium red bell pepper, sliced, ¼ cup sliced cucumber, ¼ cup shredded carrot;325;14g;407mg;7g;13g;4.6;29
aa472bb2-3591-4c38-a248-9a53173af83f;Roasted Honeynut Squash;https://www.eatingwell.com/recipe/268480/roasted-honeynut-squash/;2 medium honeynut squash, halved lengthwise and seeded, 4 teaspoons butter, ¼ teaspoon salt, ¼ teaspoon ground pepper, ¼ teaspoon ground cinnamon, 4 teaspoons pure maple syrup (optional);114;4g;153mg;4g;2g;4.9;10
98488b8d-fbc7-4b09-84f5-14a419b35345;Quick Cucumber Kimchi;https://www.eatingwell.com/recipe/250130/quick-cucumber-kimchi/;2 pickling cucumbers or other small cucumbers (about 8 ounces), 1 teaspoon kosher salt, 2 cloves garlic, finely chopped, 2 scallions, white and light green parts only, finely chopped, 1 1/4-inch piece fresh ginger, peeled and finely chopped, 2 tablespoons rice vinegar, 1 tablespoon Korean chile powder (see Note), 2 teaspoons sugar, ½ teaspoon fish sauce (see Note);8;0g;64mg;1g;0g;4.2;11
4912deeb-8e78-4729-ba80-4cbffb029ec4;Sautéed Brussels Sprouts with Bacon & Onions;https://www.eatingwell.com/recipe/249972/sauteed-brussels-sprouts-with-bacon-onions/;2 ½ pounds Brussels sprouts, trimmed, 4 slices bacon, cut into 1-inch pieces, 1 tablespoon extra-virgin olive oil, 1 large onion, diced, 4 sprigs thyme or savory, plus 2 teaspoons leaves, divided, 1 teaspoon salt, Freshly ground pepper, to taste, 2 teaspoons lemon juice (optional);77;3g;303mg;3g;4g;4.9;14
6e0f2ef1-8bd6-4f7f-9fda-962cc7ea374d;Chhole (Chickpea Curry);https://www.eatingwell.com/recipe/255186/chickpea-curry-chhole/;1 medium serrano pepper, cut into thirds, 4 large cloves garlic, 1 2-inch piece fresh ginger, peeled and coarsely chopped, 1 medium yellow onion, chopped (1-inch), 6 tablespoons canola oil or grapeseed oil, 2 teaspoons ground coriander, 2 teaspoons ground cumin, ½ teaspoon ground turmeric, 2 ¼ cups no-salt-added canned diced tomatoes with their juice (from a 28-ounce can), ¾ teaspoon  kosher salt, 2 15-ounce cans chickpeas, rinsed, 2 teaspoons garam masala, Fresh cilantro for garnish;278;16g;354mg;3g;6g;4.6;68
4d3c1620-1dfd-4652-8194-b0de3c434680;Cinnamon-Roll Overnight Oats;https://www.eatingwell.com/recipe/268775/cinnamon-roll-overnight-oats/;2 1/2 cups old-fashioned rolled oats (see Tip), 2 1/2 cups unsweetened nondairy milk, such as almond or coconut, 6 teaspoons light brown sugar, 1 ½ teaspoons vanilla extract, 1 ¼ teaspoons ground cinnamon, ½ teaspoon salt;191;4g;323mg;4g;6g;4.1;29
a04fc44e-a8f9-4066-8d17-6a2734fc9e0f;Vegetable Weight-Loss Soup;https://www.eatingwell.com/recipe/261632/vegetable-weight-loss-soup/;2 tablespoons extra-virgin olive oil, 1 medium onion, chopped, 2 medium carrots, chopped, 2 stalks celery, chopped, 12 ounces fresh green beans, cut into 1/2-inch pieces, 2 cloves garlic, minced, 8 cups no-salt-added chicken broth or low-sodium vegetable broth, 2 (15 ounce) cans low-sodium cannellini or other white beans, rinsed, 4 cups chopped kale, 2 medium zucchini, chopped, 4 Roma tomatoes, seeded and chopped, 2 teaspoons red-wine vinegar, ¾ teaspoon salt, ½ teaspoon ground pepper, 8 teaspoons prepared pesto;225;8g;406mg;5g;13g;4.6;48
1deaea11-f994-4585-bbbb-33f3ef4b3dc5;Peanut Butter Energy Balls;https://www.eatingwell.com/recipe/275207/peanut-butter-energy-balls/;2 cups rolled oats (see Tip), 1 cup natural peanut butter or other nut butter, ½ cup honey, ¼ cup mini chocolate chips, ¼ cup unsweetened shredded coconut;174;9g;48mg;10g;4g;4.1;29
80b5dc7a-cfd0-421b-b1a6-1dd7fb83b0a7;Old-Fashioned Oatmeal;https://www.eatingwell.com/recipe/269639/old-fashioned-oatmeal/;1 cup water or low-fat milk, Pinch of salt, ½ cup rolled oats, 2 tablespoons low-fat milk for serving, 1 to 2 teaspoons honey, cane sugar or brown sugar for serving, Pinch of cinnamon;150;3g;152mg;1g;5g;4.6;5
f9245913-834a-46a5-aadd-5c72cb75a9c4;Strawberry-Chocolate Greek Yogurt Bark;https://www.eatingwell.com/recipe/259080/strawberry-chocolate-greek-yogurt-bark/;3 cups whole-milk plain Greek yogurt, ¼ cup pure maple syrup or honey, 1 teaspoon vanilla extract, 1 ½ cups sliced strawberries, ¼ cup mini chocolate chips;34;1g;8mg;4g;2g;4.3;20
287f31fb-0032-47c5-869a-5b40cd38c0f9;Roasted Sweet Potatoes;https://www.eatingwell.com/recipe/268936/roasted-sweet-potatoes/;1 pound sweet potatoes (about 2 medium), scrubbed, 1 ½ teaspoons olive oil, ¼ teaspoon kosher salt, ⅛ teaspoon ground pepper;85;2g;168mg;3g;1g;5.0;5
baaeb0b8-bac5-4ef3-88a1-d5936213bc7d;Baked Banana-Nut Oatmeal Cups;https://www.eatingwell.com/recipe/274166/baked-banana-nut-oatmeal-cups/;3 cups rolled oats (see Tip), 1 ½ cups low-fat milk, 2 ripe bananas, mashed (about 3/4 cup), ⅓ cup packed brown sugar, 2 large eggs, lightly beaten, 1 teaspoon baking powder, 1 teaspoon ground cinnamon, 1 teaspoon vanilla extract, ½ teaspoon salt, ½ cup toasted chopped pecans;176;6g;166mg;11g;5g;4.4;59
